,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
9869,AUTO39562,2023-12-26,2023-12-26,2023-12-26,Collecte,uzqctwc7pp,NE_T19_GRE CONDORCET G RAMBAUD_MAR VEN_CS_110022,365.0,3551.0,1274.0,,365.0,16680,0.2,19.47,0.2,19.67,GAM,110022.0,NE,T19,MAR VEN,CS
9870,AUTO39563,2023-12-26,2023-12-26,,Collecte,qshw7egqjb,NE_T16_GRE BROC VILLEBOIS POT_LUN JEU_OMR_110025,7779.0,291.0,4033.0,,415.0,0,7.92,15.61,0.03,23.53,GAM,110025.0,NE,T16,LUN JEU,OMR
9871,AUTO39564,2023-12-26,2023-12-26,,Collecte,oF7I4xGfPC,NE_T17_GRE GRENETTE MALHERBE_MAR_CS_110006,7337.0,724.0,3111.0,,42.0,0,5.34,21.56,0.0,26.9,GAM,110006.0,NE,T17,MAR,CS
9872,AUTO39565,2023-12-26,2023-12-26,,Collecte,g8k9apcqfs,NE_T14_GRE VERDUN JOUHAUX_LUN_OMR_110009,0.0,3254.0,1861.0,,,0,0.0,30.86,,30.86,GAM,110009.0,NE,T14,LUN,OMR
9873,AUTO39566,2023-12-26,2023-12-26,,Collecte,FnZSedjmt4,NE_T BENNE SUP FERIES_SMH_JEU_OMR,15729.0,407.0,4081.0,,413.0,0,15.02,37.01,0.19,52.03,GAM,,NE,T BENNE SUP FERIES,JEU,OMR
9874,AUTO39570,2023-12-26,2023-12-26,,Collecte,fknz9lrv64,,0.0,997.0,411.0,,,0,0.0,124.84,,124.84,GAM,,,,,
9875,AUTO39571,2023-12-26,2023-12-26,,Transport,Bj5S5eVr9N,,1110.0,4051.0,4264.0,,1110.0,0,0.33,95.85,0.33,96.18,GAM,,,,,
9876,AUTO39569,2023-12-26,2023-12-26,,Collecte,0jbxz085fw,NO_T10_GRE VALLIER_MAR_OMR_151010,0.0,235.0,2876.0,,,0,0.0,50.66,,50.66,GAM,151010.0,NO,T10,MAR,OMR
9877,AUTO39578,2023-12-26,2023-12-26,,Collecte,vhxnkra4on,,0.0,4843.0,7142.0,,,0,0.0,11.32,,11.32,GAM,,,,,
9878,AUTO39576,2023-12-26,2023-12-26,,Collecte,pvqkjig664,,0.0,,2265.0,,,0,0.0,2.76,,2.76,GAM,,,,,
